age,gender,relation,occasion,interest_1,interest_2,budget,gift
0,0,1,0,0,0,0,"Football, Football Player Poster"
0,0,1,0,0,1,0,"Basketball, BasketBall Player Poster"
0,0,1,0,0,2,0,"Hockey Stick, Hockey Player Poster"
0,0,1,0,0,3,0,"Cricket Bat, Cricket Player Poster"
0,0,1,0,0,4,0,"Badminton Racket, Shuttle Cocks"
0,0,1,0,0,5,0,"Running Shoes, Headband"
0,0,1,0,0,6,0,"Tennis Racket, Headband"
0,0,1,0,0,7,0,"Chess Board, Board Game"
0,0,1,0,0,8,0,"Volleyball, Waterbottle"
0,0,1,0,0,9,0,"Boxing Gloves, Boxer Poster"
0,0,1,0,0,10,0,"Skates, Headband"
0,0,1,0,0,11,0,"Rugby Ball, Sports Towel"
0,0,1,0,0,13,0,Fishing Accessories
0,0,1,0,0,12,0,"Cycling Accessories, Waterbottle"
0,0,1,0,0,0,1,"Football Shoes, Football"
0,0,1,0,0,1,1,Basketball Shoes
0,0,1,0,0,2,1,Hockey Shoes
0,0,1,0,0,3,1,"Cricket Shoes, Cricket Bat"
0,0,1,0,0,4,1,"Badminton Shoes, Badminton Racket"
0,0,1,0,0,5,1,"Fitness Watch, Treadmill"
0,0,1,0,0,6,1,"Tennis Racket, Tennis Shoes"
0,0,1,0,0,7,1,"Carrom Board, Board Game"
0,0,1,0,0,8,1,Volleyball Shoes
0,0,1,0,0,9,1,Boxing Shoes
0,0,1,0,0,10,1,"Skates, Fitness Watch"
0,0,1,0,0,11,1,Rugby Accessories
0,0,1,0,0,13,1,"Fishing Rod, Fishing Chair"
0,0,1,0,0,12,1,Cycling Accessories
0,0,1,0,0,0,2,Football Accessories
0,0,1,0,0,1,2,Basketball Accessories
0,0,1,0,0,2,2,Hockey Accessories
0,0,1,0,0,3,2,Cricket Accessories
0,0,1,0,0,4,2,Cricket Accessories
0,0,1,0,0,5,2,"Fitness Watch, Treadmill"
0,0,1,0,0,6,2,Tennis Accessories
0,0,1,0,0,7,2,Cue Sports Accessories
0,0,1,0,0,8,2,Volleyball Accessories
0,0,1,0,0,9,2,Boxing Accessories
0,0,1,0,0,10,2,Skating Accessories
0,0,1,0,0,11,2,Rugby Accessories
0,0,1,0,0,13,2,"Fishing Boat, Fishing Accessories"
0,0,1,0,0,12,2,"Cycle, Cycling Accessories"
0,1,1,0,0,0,0,"Football, Football Player Poster"
0,1,1,0,0,1,0,"Basketball, BasketBall Player Poster"
0,1,1,0,0,2,0,"Hockey Stick, Hockey Player Poster"
0,1,1,0,0,3,0,"Cricket Bat, Cricket Player Poster"
0,1,1,0,0,4,0,"Badminton Racket, Shuttle Cocks"
0,1,1,0,0,5,0,"Running Shoes, Headband"
0,1,1,0,0,6,0,"Tennis Racket, Headband"
0,1,1,0,0,7,0,"Chess Board, Board Game"
0,1,1,0,0,8,0,"Volleyball, Waterbottle"
0,1,1,0,0,9,0,"Boxing Gloves, Boxer Poster"
0,1,1,0,0,10,0,"Skates, Headband"
0,1,1,0,0,11,0,"Rugby Ball, Sports Towel"
0,1,1,0,0,13,0,Fishing Accessories
0,1,1,0,0,12,0,"Cycling Accessories, Waterbottle"
0,1,1,0,0,0,1,"Football Shoes, Football"
0,1,1,0,0,1,1,Basketball Shoes
0,1,1,0,0,2,1,Hockey Shoes
0,1,1,0,0,3,1,"Cricket Shoes, Cricket Bat"
0,1,1,0,0,4,1,"Badminton Shoes, Badminton Racket"
0,1,1,0,0,5,1,"Fitness Watch, Treadmill"
0,1,1,0,0,6,1,"Tennis Racket, Tennis Shoes"
0,1,1,0,0,7,1,"Carrom Board, Board Game"
0,1,1,0,0,8,1,Volleyball Shoes
0,1,1,0,0,9,1,Boxing Shoes
0,1,1,0,0,10,1,"Skates, Fitness Watch"
0,1,1,0,0,11,1,Rugby Accessories
0,1,1,0,0,13,1,"Fishing Rod, Fishing Chair"
0,1,1,0,0,12,1,Cycling Accessories
0,1,1,0,0,0,2,Football Accessories
0,1,1,0,0,1,2,Basketball Accessories
0,1,1,0,0,2,2,Hockey Accessories
0,1,1,0,0,3,2,Cricket Accessories
0,1,1,0,0,4,2,Cricket Accessories
0,1,1,0,0,5,2,"Fitness Watch, Treadmill"
0,1,1,0,0,6,2,Tennis Accessories
0,1,1,0,0,7,2,Cue Sports Accessories
0,1,1,0,0,8,2,Volleyball Accessories
0,1,1,0,0,9,2,Boxing Accessories
0,1,1,0,0,10,2,Skating Accessories
0,1,1,0,0,11,2,Rugby Accessories
0,1,1,0,0,13,2,"Fishing Boat, Fishing Accessories"
0,1,1,0,0,12,2,"Cycle, Cycling Accessories"
0,0,0,0,0,0,0,"Football, Football Player Poster"
